Gender,Rating Value,mainaccord1,mainaccord2,mainaccord3
unisex,1.42,rose,woody,fruity
women,1.86,citrus,white floral,sweet
unisex,1.91,citrus,white floral,sweet
men,1.92,fruity,nutty,woody
men,1.93,aromatic,warm spicy,fresh spicy
men,1.95,citrus,white floral,sweet
men,1.95,white floral,citrus,fresh
men,2.05,woody,amber,citrus
women,2.12,citrus,fruity,floral
women,2.41,powdery,musky,violet
men,2.53,citrus,white floral,fresh spicy
unisex,2.62,leather,warm spicy,rose
women,2.64,fruity,tropical,sweet
women,2.65,fruity,woody,sweet
unisex,2.66,citrus,oud,fruity
men,2.68,green,fresh spicy,aromatic
unisex,2.68,rubber,mineral,paper
women,2.69,woody,white floral,fruity
women,2.71,floral,powdery,citrus
men,2.71,ozonic,aquatic,lavender
men,2.72,leather,fresh spicy,warm spicy
unisex,2.74,aromatic,fresh spicy,woody
women,2.75,citrus,white floral,musky
unisex,2.81,woody,vanilla,amber
unisex,2.81,citrus,white floral,woody
unisex,2.82,vinyl,mineral,metallic
unisex,2.82,musky,warm spicy,animalic
women,2.83,yellow floral,powdery,floral
men,2.83,fruity,mossy,woody
men,2.84,leather,woody,aromatic
unisex,2.85,earthy,woody,powdery
men,2.86,aromatic,woody,aquatic
unisex,2.86,white floral,citrus,woody
women,2.88,ozonic,aldehydic,fresh
unisex,2.89,citrus,green,white floral
men,2.9,woody,warm spicy,powdery
unisex,2.91,rose,fresh spicy,oud
women,2.92,warm spicy,citrus,woody
unisex,2.92,fruity,oud,woody
unisex,2.93,fresh spicy,aromatic,fruity
women,2.93,floral,powdery,fresh
unisex,2.93,fresh,green,floral
unisex,2.93,warm spicy,citrus,aromatic
women,2.93,floral,fresh,white floral
unisex,2.94,woody,smoky,leather
unisex,2.94,woody,warm spicy,earthy
men,2.95,citrus,warm spicy,cinnamon
women,2.95,sweet,powdery,fruity
unisex,2.96,amber,aldehydic,fresh
women,2.96,white floral,green,musky
unisex,2.96,white floral,green,fresh
unisex,2.96,fruity,almond,floral
women,2.96,green,citrus,floral
women,2.97,fruity,sweet,caramel
women,2.97,white floral,floral,fruity
women,2.97,vanilla,floral,rose
unisex,2.97,fruity,fresh spicy,aromatic
unisex,2.97,woody,musky,amber
unisex,2.97,yellow floral,sweet,woody
women,2.98,white floral,fresh,floral
women,2.99,rose,fruity,tropical
unisex,2.99,aromatic,woody,fresh spicy
women,2.99,floral,green,citrus
women,2.99,floral,fruity,amber
women,3.0,fruity,sweet,fresh
women,3.0,white floral,tuberose,almond
unisex,3.0,citrus,white floral,woody
women,3.0,woody,rum,warm spicy
women,3.0,citrus,aquatic,ozonic
men,3.01,aromatic,woody,fresh spicy
women,3.01,white floral,musky,amber
unisex,3.02,white floral,fruity,green
women,3.02,green,aromatic,yellow floral
unisex,3.02,sweet,fruity,musky
unisex,3.02,fruity,sweet,warm spicy
women,3.03,fruity,warm spicy,fresh
men,3.03,aromatic,fresh spicy,citrus
unisex,3.03,woody,green,aromatic
unisex,3.03,woody,powdery,vanilla
men,3.04,citrus,aromatic,woody
women,3.04,citrus,woody,musky
women,3.04,fruity,musky,floral
women,3.05,tropical,floral,fruity
men,3.05,aromatic,woody,fresh spicy
unisex,3.06,white floral,amber,animalic
unisex,3.06,white floral,citrus,lavender
women,3.07,citrus,green,musky
women,3.07,white floral,powdery,anis
women,3.07,amber,white floral,floral
women,3.07,sweet,fruity,caramel
unisex,3.07,sweet,amber,anis
unisex,3.07,leather,animalic,amber
unisex,3.07,amber,warm spicy,smoky
unisex,3.08,green,vanilla,woody
women,3.08,rose,floral,
women,3.08,citrus,white floral,musky
women,3.08,green,fresh,ozonic
unisex,3.08,lavender,citrus,woody
women,3.08,citrus,fruity,fresh
unisex,3.08,woody,oud,aromatic
men,3.09,aromatic,woody,fresh spicy
unisex,3.09,ozonic,aquatic,woody
women,3.09,vanilla,lactonic,woody
women,3.09,earthy,rose,woody
unisex,3.09,warm spicy,citrus,woody
men,3.09,woody,aromatic,warm spicy
women,3.09,powdery,yellow floral,sweet
unisex,3.09,woody,green,honey
unisex,3.09,musky,caramel,sweet
unisex,3.1,floral,musky,fresh
women,3.1,white floral,fresh,fruity
women,3.1,fruity,citrus,sweet
unisex,3.1,green,marine,aromatic
men,3.1,aromatic,fresh spicy,lavender
unisex,3.11,woody,musky,amber
women,3.11,musky,powdery,floral
men,3.11,citrus,earthy,woody
unisex,3.11,vanilla,almond,sweet
women,3.11,white floral,woody,tuberose
women,3.11,sweet,fruity,honey
unisex,3.11,ozonic,marine,aquatic
women,3.11,fruity,woody,floral
unisex,3.11,rose,patchouli,warm spicy
women,3.11,fruity,sweet,
unisex,3.11,almond,vanilla,caramel
women,3.12,violet,white floral,powdery
women,3.12,fruity,powdery,woody
women,3.12,floral,fruity,rose
unisex,3.12,white floral,woody,aromatic
women,3.12,white floral,tuberose,floral
women,3.12,fruity,rose,white floral
unisex,3.12,fruity,iris,sweet
men,3.12,aromatic,woody,fresh spicy
women,3.12,fruity,citrus,sweet
unisex,3.12,woody,oud,earthy
women,3.13,powdery,floral,citrus
unisex,3.13,citrus,white floral,aquatic
unisex,3.13,woody,fresh spicy,musky
women,3.13,vanilla,warm spicy,amber
women,3.13,fruity,tropical,sweet
women,3.13,yellow floral,green,vanilla
women,3.14,white floral,aldehydic,powdery
unisex,3.14,musky,aromatic,floral
women,3.14,fruity,citrus,sweet
unisex,3.14,citrus,aromatic,fresh spicy
unisex,3.14,ozonic,earthy,amber
women,3.14,fruity,rose,sweet
unisex,3.14,musky,amber,woody
women,3.14,fruity,floral,powdery
unisex,3.14,rose,white floral,fresh spicy
women,3.15,floral,fruity,rose
unisex,3.15,aromatic,fresh spicy,green
women,3.15,citrus,floral,aromatic
men,3.15,aromatic,herbal,soft spicy
women,3.16,violet,citrus,powdery
women,3.16,white floral,sweet,fruity
unisex,3.16,woody,musky,powdery
women,3.16,rose,warm spicy,amber
women,3.16,floral,warm spicy,citrus
women,3.16,white floral,vanilla,green
women,3.16,fruity,sweet,floral
unisex,3.16,aromatic,woody,fresh spicy
unisex,3.16,citrus,aromatic,warm spicy
women,3.16,green,fruity,fresh
unisex,3.16,iris,powdery,fruity
men,3.17,woody,fruity,mossy
unisex,3.17,aromatic,floral,rose
women,3.17,cherry,sweet,lactonic
unisex,3.17,citrus,woody,warm spicy
women,3.17,citrus,white floral,woody
unisex,3.17,citrus,amber,woody
unisex,3.18,musky,powdery,
men,3.18,green,citrus,aromatic
unisex,3.18,citrus,musky,white floral
women,3.18,citrus,tuberose,floral
women,3.18,aquatic,ozonic,marine
men,3.18,aromatic,warm spicy,woody
women,3.18,floral,fruity,rose
women,3.18,woody,amber,whiskey
women,3.18,woody,caramel,iris
unisex,3.18,sweet,woody,vanilla
women,3.19,aldehydic,musky,fresh
unisex,3.19,woody,floral,powdery
unisex,3.19,musky,amber,animalic
women,3.19,aromatic,fresh spicy,citrus
women,3.19,fruity,musky,lactonic
women,3.19,citrus,mossy,fresh spicy
women,3.19,fruity,white floral,woody
women,3.19,ozonic,aquatic,yellow floral
men,3.19,animalic,musky,
women,3.2,citrus,woody,floral
women,3.2,citrus,woody,aromatic
unisex,3.2,citrus,warm spicy,woody
women,3.2,almond,nutty,rose
women,3.2,fresh,floral,aquatic
unisex,3.2,woody,leather,warm spicy
women,3.2,woody,powdery,fruity
women,3.2,sweet,woody,powdery
men,3.21,woody,amber,musky
women,3.21,white floral,amber,tuberose
unisex,3.21,aromatic,fresh spicy,woody
women,3.21,fresh,floral,green
unisex,3.21,woody,sweet,warm spicy
women,3.21,citrus,ozonic,patchouli
unisex,3.21,rose,floral,powdery
unisex,3.21,fruity,fresh,woody
unisex,3.21,fruity,sweet,musky
women,3.21,fresh spicy,citrus,rose
unisex,3.21,white floral,tuberose,sweet
unisex,3.22,aromatic,white floral,woody
men,3.22,lavender,vanilla,aromatic
women,3.22,fruity,powdery,sweet
women,3.22,white floral,musky,citrus
men,3.22,citrus,woody,fresh spicy
women,3.22,woody,citrus,fruity
women,3.22,green,aromatic,woody
women,3.22,citrus,woody,fruity
women,3.22,powdery,woody,warm spicy
women,3.22,floral,amber,musky
women,3.22,citrus,white floral,woody
men,3.22,aromatic,marine,amber
unisex,3.22,citrus,powdery,violet
women,3.22,citrus,fresh,white floral
unisex,3.22,citrus,fruity,fresh spicy
women,3.23,citrus,fruity,floral
unisex,3.23,powdery,woody,fruity
women,3.23,warm spicy,woody,citrus
women,3.23,floral,citrus,woody
women,3.23,floral,white floral,fresh
women,3.23,white floral,aquatic,fruity
unisex,3.23,woody,amber,warm spicy
men,3.23,white floral,citrus,fruity
unisex,3.23,vanilla,oud,rose
unisex,3.23,woody,amber,leather
women,3.23,citrus,aromatic,fresh spicy
women,3.23,floral,woody,fresh
unisex,3.23,citrus,floral,sweet
men,3.23,aromatic,fresh spicy,citrus
men,3.23,aromatic,warm spicy,woody
unisex,3.23,warm spicy,sweet,violet
unisex,3.23,oud,warm spicy,woody
unisex,3.23,marine,amber,tobacco
women,3.23,fruity,citrus,sweet
men,3.24,aromatic,woody,citrus
women,3.24,white floral,citrus,aromatic
unisex,3.24,citrus,musky,fresh
unisex,3.24,aromatic,mineral,rose
women,3.24,warm spicy,rose,amber
women,3.24,woody,white floral,musky
men,3.24,aromatic,green,vanilla
women,3.24,fruity,white floral,powdery
unisex,3.24,green,fresh,fruity
women,3.24,citrus,floral,fresh spicy
unisex,3.24,fruity,oud,patchouli
women,3.24,woody,citrus,white floral
men,3.24,citrus,aromatic,woody
unisex,3.24,musky,powdery,woody
women,3.24,floral,woody,fresh
unisex,3.24,woody,aromatic,fresh spicy
men,3.24,woody,fruity,citrus
women,3.24,woody,animalic,white floral
women,3.25,floral,woody,fruity
women,3.25,green,aromatic,lavender
women,3.25,white floral,musky,soft spicy
men,3.25,aromatic,citrus,lavender
unisex,3.25,warm spicy,citrus,vanilla
unisex,3.25,musky,citrus,sweet
unisex,3.25,tropical,sweet,fruity
women,3.25,fruity,musky,fresh
men,3.25,warm spicy,powdery,aromatic
men,3.25,citrus,fresh spicy,fruity
men,3.25,woody,aromatic,green
unisex,3.25,fresh spicy,amber,metallic
unisex,3.25,citrus,fresh spicy,aromatic
unisex,3.25,fruity,oud,woody
women,3.25,musky,yellow floral,citrus
women,3.25,white floral,floral,musky
women,3.25,floral,rose,fresh
unisex,3.25,warm spicy,sweet,cacao
women,3.25,white floral,floral,fresh
unisex,3.25,woody,tobacco,amber
unisex,3.26,musky,aromatic,fresh spicy
unisex,3.26,fruity,sweet,green
unisex,3.26,sweet,powdery,
men,3.26,aquatic,woody,aromatic
men,3.26,aromatic,citrus,woody
women,3.26,musky,woody,floral
women,3.26,woody,warm spicy,amber
men,3.26,aromatic,fresh spicy,green
women,3.26,fruity,musky,fresh
women,3.26,fruity,sweet,ozonic
unisex,3.26,citrus,white floral,vanilla
women,3.26,floral,fresh,white floral
unisex,3.26,fresh spicy,aromatic,woody
women,3.26,powdery,rose,woody
unisex,3.26,fruity,sweet,tropical
unisex,3.26,aromatic,marine,woody
men,3.26,citrus,fresh spicy,aromatic
women,3.26,citrus,fresh spicy,coffee
women,3.26,citrus,fresh,white floral
women,3.27,fruity,citrus,white floral
women,3.27,green,floral,white floral
women,3.27,citrus,aromatic,fresh spicy
women,3.27,lavender,aromatic,vanilla
unisex,3.27,warm spicy,fresh spicy,oud
unisex,3.27,floral,citrus,fresh
unisex,3.27,white floral,citrus,musky
men,3.27,aromatic,green,fresh
women,3.27,fruity,sweet,fresh
women,3.27,green,woody,aromatic
women,3.27,fruity,white floral,citrus
women,3.27,fruity,rose,citrus
women,3.27,sweet,almond,cherry
men,3.27,woody,fruity,sweet
women,3.27,floral,aromatic,marine
women,3.27,powdery,floral,white floral
unisex,3.27,citrus,aromatic,woody
women,3.27,woody,floral,fresh
unisex,3.27,fruity,citrus,musky
unisex,3.27,oud,woody,smoky
men,3.27,leather,oud,warm spicy
unisex,3.27,amber,musky,woody
men,3.27,citrus,fresh spicy,sweet
women,3.27,aldehydic,fresh,white floral
men,3.28,woody,aromatic,iris
women,3.28,fruity,sweet,tropical
women,3.28,amber,woody,balsamic
unisex,3.28,metallic,warm spicy,aromatic
men,3.28,aromatic,fresh spicy,citrus
women,3.28,citrus,green,woody
women,3.28,citrus,vanilla,powdery
unisex,3.28,cherry,woody,warm spicy
women,3.28,warm spicy,tuberose,yellow floral
women,3.28,vanilla,citrus,rose
women,3.29,citrus,fresh spicy,aromatic
women,3.29,floral,fruity,fresh
unisex,3.29,leather,oud,fresh spicy
men,3.29,aromatic,lavender,fresh spicy
women,3.29,floral,musky,powdery
women,3.29,white floral,fruity,woody
women,3.29,floral,white floral,fresh
women,3.29,citrus,green,aromatic
women,3.29,fruity,sweet,woody
women,3.29,green,floral,fruity
unisex,3.29,aromatic,woody,warm spicy
unisex,3.29,white floral,fruity,tuberose
women,3.29,floral,fresh,white floral
women,3.29,aromatic,citrus,woody
men,3.29,amber,woody,warm spicy
unisex,3.29,marine,violet,salty
women,3.29,fruity,floral,musky
women,3.29,fruity,sweet,white floral
men,3.29,musky,citrus,sweet
men,3.3,aromatic,fresh spicy,soft spicy
women,3.3,green,white floral,musky
men,3.3,aquatic,green,fresh
women,3.3,floral,white floral,sweet
men,3.3,woody,aromatic,citrus
unisex,3.3,white floral,sweet,fruity
women,3.3,fruity,woody,patchouli
women,3.3,sweet,citrus,vanilla
women,3.3,white floral,woody,tuberose
women,3.3,aquatic,fresh,citrus
unisex,3.3,green,citrus,fresh spicy
women,3.3,white floral,citrus,lactonic
unisex,3.3,leather,animalic,citrus
women,3.3,powdery,floral,citrus
men,3.3,fresh spicy,vanilla,aromatic
women,3.3,fruity,fresh,woody
women,3.3,citrus,white floral,woody
women,3.3,sweet,fruity,cherry
women,3.3,citrus,green,fresh spicy
unisex,3.3,woody,aromatic,aquatic
men,3.3,aromatic,woody,fresh spicy
women,3.3,citrus,amber,warm spicy
unisex,3.3,sweet,fruity,floral
unisex,3.3,fruity,woody,musky
men,3.3,aromatic,fresh spicy,citrus
unisex,3.3,amber,metallic,honey
women,3.3,white floral,woody,vanilla
women,3.3,rose,sweet,fruity
unisex,3.31,amber,sweet,woody
women,3.31,floral,sweet,fruity
women,3.31,white floral,fresh,fruity
women,3.31,rose,citrus,musky
unisex,3.31,aromatic,woody,fresh spicy
men,3.31,aromatic,woody,fresh spicy
women,3.31,fruity,white floral,sweet
women,3.31,woody,warm spicy,floral
men,3.31,aromatic,aquatic,citrus
women,3.31,lactonic,metallic,coconut
women,3.31,sweet,fruity,citrus
women,3.31,white floral,floral,fresh
women,3.31,woody,fruity,white floral
women,3.31,fruity,fresh,floral
women,3.31,floral,aromatic,aquatic
unisex,3.31,leather,woody,green
women,3.31,yellow floral,white floral,floral
men,3.31,woody,warm spicy,aromatic
women,3.31,woody,patchouli,floral
unisex,3.31,woody,leather,earthy
women,3.31,fruity,sweet,citrus
women,3.31,fruity,fresh,ozonic
women,3.31,powdery,woody,sweet
men,3.31,aromatic,fresh spicy,woody
women,3.31,fresh spicy,aromatic,woody
women,3.31,fresh spicy,aromatic,woody
unisex,3.31,coffee,warm spicy,sweet
women,3.31,woody,floral,powdery
unisex,3.32,woody,aldehydic,aromatic
women,3.32,citrus,woody,floral
men,3.32,musky,woody,aromatic
women,3.32,sweet,fruity,vanilla
women,3.32,floral,rose,citrus
women,3.32,floral,white floral,citrus
women,3.32,citrus,aromatic,fresh spicy
women,3.32,white floral,aromatic,woody
women,3.32,fruity,white floral,green
women,3.32,green,white floral,fresh
unisex,3.32,rose,fruity,aromatic
women,3.32,powdery,woody,floral
unisex,3.32,sweet,vanilla,rose
women,3.32,white floral,floral,sweet
unisex,3.32,almond,floral,amber
men,3.32,warm spicy,amber,smoky
women,3.32,fruity,green,floral
women,3.32,floral,fresh,fruity
women,3.32,citrus,white floral,woody
unisex,3.32,tuberose,animalic,woody
men,3.32,aromatic,marine,fresh spicy
unisex,3.32,green,aromatic,fresh spicy
unisex,3.32,oud,woody,vanilla
women,3.33,caramel,fruity,fresh
men,3.33,ozonic,fresh spicy,aromatic
women,3.33,musky,powdery,amber
unisex,3.33,woody,fresh,rose
unisex,3.33,fruity,white floral,sweet
women,3.33,floral,fruity,woody
women,3.33,sweet,almond,vanilla
women,3.33,fruity,sweet,white floral
men,3.33,warm spicy,coffee,citrus
women,3.33,green,aquatic,marine
women,3.33,fruity,sweet,floral
women,3.33,floral,marine,aquatic
women,3.33,fruity,sweet,floral
women,3.33,floral,fresh,citrus
women,3.33,woody,citrus,fresh spicy
men,3.33,aromatic,lavender,woody
women,3.33,woody,sweet,powdery
women,3.33,citrus,tropical,fruity
men,3.33,citrus,fresh spicy,aromatic
unisex,3.33,rose,amber,warm spicy
men,3.33,marine,fresh spicy,aromatic
women,3.34,citrus,floral,fruity
women,3.34,floral,fresh,musky
women,3.34,fruity,sweet,powdery
women,3.34,white floral,fresh,citrus
men,3.34,amber,musky,powdery
women,3.34,fruity,savory,ozonic
unisex,3.34,floral,tropical,ozonic
women,3.34,rose,aromatic,floral
unisex,3.34,fruity,green,sweet
unisex,3.34,smoky,woody,ozonic
women,3.34,floral,rose,fruity
unisex,3.34,woody,rose,vanilla
women,3.34,floral,green,
women,3.34,almond,fruity,sweet
men,3.34,citrus,woody,aromatic
women,3.34,fresh,fruity,citrus
unisex,3.34,rose,woody,fruity
women,3.34,floral,white floral,citrus
women,3.34,citrus,fresh spicy,sweet
unisex,3.34,floral,fruity,rose
unisex,3.34,powdery,citrus,fruity
unisex,3.35,citrus,sweet,fruity
women,3.35,white floral,citrus,woody
men,3.35,fresh spicy,aromatic,warm spicy
women,3.35,aldehydic,rose,floral
unisex,3.35,oud,aromatic,amber
unisex,3.35,woody,fresh spicy,warm spicy
unisex,3.35,amber,balsamic,animalic
women,3.35,rose,floral,musky
men,3.35,citrus,aromatic,green
women,3.35,fresh,floral,green
women,3.35,citrus,white floral,woody
women,3.35,white floral,woody,fruity
men,3.35,citrus,aromatic,warm spicy
women,3.35,fruity,rose,sweet
women,3.35,fruity,floral,white floral
men,3.35,woody,citrus,green
women,3.35,sweet,white floral,floral
women,3.35,citrus,sweet,vanilla
women,3.35,sweet,vanilla,musky
women,3.35,floral,anis,soft spicy
women,3.35,fruity,sweet,cherry
men,3.35,woody,green,amber
unisex,3.35,white floral,coffee,citrus
women,3.36,fruity,tropical,white floral
men,3.36,citrus,white floral,woody
women,3.36,coconut,floral,lavender
women,3.36,floral,green,fruity
women,3.36,vanilla,musky,white floral
unisex,3.36,woody,fresh spicy,aromatic
women,3.36,citrus,white floral,musky
women,3.36,citrus,patchouli,woody
women,3.36,floral,aquatic,marine
women,3.36,iris,citrus,powdery
women,3.36,woody,powdery,citrus
unisex,3.36,rose,warm spicy,oud
unisex,3.36,warm spicy,citrus,woody
women,3.36,fruity,sweet,woody
women,3.36,fruity,green,white floral
men,3.36,marine,fresh,aromatic
women,3.36,citrus,marine,aromatic
women,3.36,powdery,vanilla,iris
unisex,3.36,fresh spicy,aromatic,green
women,3.36,fruity,sweet,fresh
men,3.36,citrus,fresh spicy,aromatic
men,3.36,citrus,amber,aromatic
women,3.37,green,powdery,floral
women,3.37,white floral,citrus,woody
women,3.37,sweet,citrus,fruity
women,3.37,floral,fruity,sweet
men,3.37,woody,aromatic,fresh spicy
unisex,3.37,woody,fruity,musky
unisex,3.37,woody,aromatic,citrus
unisex,3.37,aromatic,fresh spicy,musky
men,3.37,green,aromatic,fresh spicy
unisex,3.37,warm spicy,citrus,woody
women,3.37,rose,patchouli,woody
unisex,3.37,soft spicy,fresh,floral
women,3.37,white floral,aromatic,green
women,3.37,floral,aldehydic,fresh
women,3.37,floral,fruity,rose
women,3.37,fruity,musky,fresh
unisex,3.37,white floral,green,aromatic
unisex,3.37,woody,aromatic,conifer
unisex,3.37,patchouli,warm spicy,woody
unisex,3.37,sweet,citrus,vanilla
women,3.37,white floral,sweet,yellow floral
women,3.37,sweet,patchouli,caramel
men,3.37,woody,aromatic,fresh spicy
women,3.37,citrus,fresh spicy,green
women,3.37,floral,fresh,citrus
men,3.37,fresh spicy,amber,lavender
unisex,3.37,citrus,fresh spicy,aromatic
men,3.37,lavender,ozonic,aquatic
unisex,3.37,fresh,citrus,fruity
unisex,3.37,citrus,white floral,yellow floral
unisex,3.37,woody,powdery,fruity
unisex,3.37,citrus,powdery,musky
women,3.37,white floral,aromatic,green
women,3.38,woody,earthy,rose
unisex,3.38,citrus,sweet,
men,3.38,fresh spicy,aromatic,woody
women,3.38,citrus,woody,powdery
women,3.38,citrus,aromatic,fresh spicy
unisex,3.38,amber,white floral,citrus
women,3.38,amber,floral,vanilla
women,3.38,fruity,sweet,fresh
unisex,3.38,woody,animalic,floral
men,3.38,musky,soft spicy,fruity
women,3.38,fresh,green,white floral
women,3.38,citrus,vanilla,musky
women,3.38,floral,fresh,musky
women,3.38,floral,tropical,vanilla
men,3.38,citrus,fresh spicy,soft spicy
women,3.38,floral,fruity,amber
men,3.38,fresh spicy,aromatic,warm spicy
men,3.38,fresh spicy,aromatic,amber
unisex,3.38,warm spicy,woody,coffee
women,3.38,citrus,floral,fresh spicy
unisex,3.38,woody,oud,leather
women,3.38,amber,citrus,fresh spicy
men,3.38,citrus,aromatic,fresh spicy
men,3.38,woody,patchouli,warm spicy
women,3.38,white floral,fruity,floral
unisex,3.38,aromatic,woody,fresh spicy
women,3.38,warm spicy,vanilla,aromatic
unisex,3.38,leather,almond,amber
women,3.38,aromatic,soft spicy,musky
men,3.38,warm spicy,citrus,woody
women,3.38,powdery,woody,vanilla
men,3.38,aromatic,vanilla,powdery
unisex,3.38,citrus,white floral,fresh spicy
unisex,3.38,vanilla,sweet,musky
women,3.38,white floral,fruity,musky
unisex,3.38,ozonic,green,fresh spicy
women,3.38,rose,floral,animalic
unisex,3.38,aromatic,fresh spicy,woody
men,3.38,woody,warm spicy,citrus
unisex,3.38,warm spicy,rose,metallic
unisex,3.38,woody,warm spicy,smoky
unisex,3.38,fruity,floral,sweet
women,3.38,powdery,yellow floral,woody
unisex,3.38,white floral,powdery,woody
men,3.39,citrus,sweet,woody
women,3.39,fruity,patchouli,sweet
women,3.39,floral,white floral,musky
women,3.39,warm spicy,green,aromatic
unisex,3.39,amber,fresh spicy,woody
unisex,3.39,white floral,fruity,sweet
women,3.39,fruity,amber,sweet
men,3.39,woody,citrus,aromatic
women,3.39,white floral,citrus,rose
women,3.39,sweet,vanilla,white floral
women,3.39,fruity,sweet,fresh
unisex,3.39,citrus,fresh spicy,metallic
unisex,3.39,fruity,sweet,musky
women,3.39,sand,floral,amber
men,3.39,woody,citrus,green
women,3.39,fruity,vanilla,rose
women,3.39,fresh,floral,rose
women,3.39,ozonic,aquatic,fruity
women,3.39,musky,powdery,woody
women,3.39,powdery,fruity,vanilla
women,3.39,rose,woody,powdery
women,3.39,green,white floral,floral
unisex,3.39,citrus,aromatic,fresh spicy
unisex,3.39,amber,musky,warm spicy
women,3.39,floral,white floral,fresh
unisex,3.39,vanilla,woody,fruity
unisex,3.39,fresh spicy,citrus,woody
women,3.39,white floral,aquatic,woody
women,3.39,floral,fresh,powdery
unisex,3.39,woody,rose,earthy
women,3.39,musky,floral,powdery
women,3.39,sweet,fruity,lactonic
unisex,3.39,fruity,fresh,rose
women,3.4,rose,floral,warm spicy
men,3.4,aromatic,fresh spicy,citrus
men,3.4,citrus,fresh spicy,aromatic
unisex,3.4,powdery,musky,rose
women,3.4,citrus,woody,rose
women,3.4,fruity,rose,patchouli
women,3.4,woody,amber,warm spicy
women,3.4,fruity,musky,rose
men,3.4,aromatic,fresh spicy,warm spicy
men,3.4,powdery,musky,amber
unisex,3.4,fresh,white floral,citrus
unisex,3.4,floral,white floral,fruity
men,3.4,woody,aromatic,citrus
women,3.4,fruity,green,woody
women,3.4,aromatic,powdery,violet
men,3.4,green,aromatic,woody
unisex,3.4,ozonic,aquatic,woody
women,3.4,fruity,floral,fresh
women,3.4,floral,rose,fresh
women,3.4,citrus,floral,white floral
unisex,3.4,woody,aromatic,fresh spicy
unisex,3.4,powdery,musky,floral
unisex,3.4,aromatic,fresh spicy,citrus
men,3.4,aromatic,fresh spicy,woody
women,3.4,rose,patchouli,fruity
women,3.4,floral,aromatic,powdery
men,3.4,fresh spicy,aromatic,aquatic
men,3.4,fruity,mossy,fresh spicy
women,3.4,citrus,musky,fresh
women,3.41,floral,citrus,fruity
women,3.41,sweet,fruity,chocolate
women,3.41,rose,floral,
women,3.41,white floral,woody,powdery
unisex,3.41,woody,amber,musky
women,3.41,floral,powdery,green
unisex,3.41,green,aromatic,fresh spicy
unisex,3.41,floral,white floral,woody
unisex,3.41,citrus,green,white floral
men,3.41,fresh spicy,citrus,aromatic
men,3.41,vanilla,warm spicy,powdery
women,3.41,floral,fresh,rose
unisex,3.41,fruity,sweet,fresh
women,3.41,floral,aquatic,fresh
women,3.41,fruity,sweet,powdery
women,3.41,floral,tropical,citrus
unisex,3.41,woody,warm spicy,aromatic
women,3.41,sweet,fruity,mineral
women,3.41,white floral,citrus,woody
unisex,3.41,warm spicy,fresh spicy,woody
unisex,3.41,amber,citrus,patchouli
women,3.41,woody,sweet,fruity
women,3.41,floral,fruity,citrus
unisex,3.41,fresh spicy,warm spicy,woody
women,3.41,floral,white floral,fresh
women,3.41,floral,rose,woody
unisex,3.41,marine,aromatic,amber
men,3.41,warm spicy,floral,woody
unisex,3.41,rose,soft spicy,floral
women,3.41,citrus,floral,rose
unisex,3.41,woody,warm spicy,aromatic
unisex,3.41,warm spicy,rose,amber
unisex,3.41,citrus,aromatic,woody
men,3.41,aromatic,lavender,lactonic
men,3.41,citrus,aromatic,fresh spicy
women,3.41,ozonic,aquatic,white floral
unisex,3.41,anis,musky,soft spicy
women,3.41,fruity,woody,amber
women,3.41,floral,powdery,fruity
unisex,3.41,vanilla,amber,white floral
men,3.42,aromatic,fresh spicy,herbal
women,3.42,fruity,fresh,powdery
women,3.42,floral,tropical,fruity
women,3.42,floral,fruity,citrus
unisex,3.42,woody,nutty,warm spicy
unisex,3.42,floral,white floral,green
unisex,3.42,powdery,iris,musky
women,3.42,fruity,powdery,woody
unisex,3.42,rose,fruity,aromatic
women,3.42,citrus,floral,fruity
women,3.42,white floral,woody,vanilla
women,3.42,sweet,vanilla,fruity
unisex,3.42,musky,woody,leather
men,3.42,aromatic,fresh spicy,citrus
unisex,3.42,aromatic,woody,fresh spicy
women,3.42,citrus,fruity,tropical
women,3.42,fruity,citrus,fresh
women,3.42,fruity,sweet,soft spicy
women,3.42,fruity,white floral,floral
women,3.42,sweet,fruity,vanilla
women,3.42,powdery,fruity,woody
women,3.42,citrus,green,powdery
women,3.42,rose,sweet,fruity
unisex,3.42,white floral,floral,powdery
men,3.42,woody,powdery,floral
men,3.42,warm spicy,cinnamon,powdery
women,3.42,rose,floral,fruity
unisex,3.42,citrus,vanilla,woody
women,3.42,yellow floral,honey,beeswax
unisex,3.42,citrus,woody,aromatic
unisex,3.42,woody,rum,tobacco
unisex,3.42,rose,sweet,woody
unisex,3.42,musky,woody,powdery
women,3.42,woody,floral,white floral
unisex,3.42,woody,aromatic,smoky
women,3.42,floral,powdery,white floral
women,3.42,cherry,floral,sweet
unisex,3.42,aromatic,leather,smoky
women,3.42,aromatic,citrus,woody
women,3.42,fruity,sweet,tropical
women,3.42,floral,white floral,tropical
women,3.42,vanilla,sweet,powdery
women,3.42,white floral,tropical,citrus
women,3.42,fruity,rose,champagne
women,3.42,floral,citrus,woody
women,3.43,citrus,floral,green
women,3.43,fruity,sweet,rose
women,3.43,marine,aromatic,musky
women,3.43,powdery,aldehydic,floral
unisex,3.43,floral,fresh,rose
unisex,3.43,marine,floral,salty
women,3.43,floral,fresh,ozonic
